Syntax version=4
Wed Jun 11 09:51:11 2025
Starting process (10000000 clocks per sec)

LogRawData=false
VarHeader=1
D:		pitch_kalman	roll_kalman	MOTangle10	MOTangle100	MOTangle11	MOTangle9	KalmanX.angle	KalmanX.velocity	offset	velocity_k	angle_robot	dt	velocity_robot	KalmanX.bias	KalmanY.bias	DDSangle01	DDSangle30	DDScurrent01	DDScurrent30	DDSrpm01	DDSrpm30	anglex01_offset	anglex30_offset	distnacex01	revolutionx01	DDSangle01m_old	zerocrossx01down	zerocrossx01up	delatx01	distnacex30	DDSvelocity01	DDSvelocity30	iq	Xerror	SSref	Xref	error_lateral	lateral_out	integral_lateral
D:	time(ms)	(0x20000498,7)	(0x20000490,7)	(0x2000066c,6)	(0x20000658,6)	(0x20000694,6)	(0x20000680,6)	(0x200000a8,7)	(0x200000b8,7)	(0x20000000,7)	(0x20000330,7)	(0x20000350,7)	(0x20000478,7)	(0x20000360,7)	(0x200000b0,7)	(0x20000100,7)	(0x20000404,6)	(0x20000420,6)	(0x2000040c,6)	(0x20000428,6)	(0x20000408,6)	(0x20000424,6)	(0x20000448,6)	(0x2000045c,6)	(0x20000444,6)	(0x2000044c,5)	(0x2000041c,6)	(0x20000454,5)	(0x20000450,5)	(0x2000043c,6)	(0x20000458,6)	(0x20000414,6)	(0x20000430,6)	(0x20000328,7)	(0x20000378,7)	(0x200003a8,7)	(0x20000370,7)	(0x20000394,6)	(0x20000390,6)	(0x20000398,6)
D:	167.17	-10.601412	67.987637	-0.000192	0.000192	0.000192	-0.000192	67.987637	0.031478	-1.500000	-0.123906	69.487637	0.019000	-0.123906	-3.779570	1.370166	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0.000000	0	0	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	7.711412	0.424128	0.000000
D:	176.11	-10.601412	67.987637	-0.000192	0.000192	0.000192	-0.000192	67.987637	0.031478	-1.500000	-0.123906	69.487637	0.019000	-0.123906	-3.779570	1.370166	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0.000000	0	0	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	7.711412	0.424128	0.000000
D:	184.77	-10.364068	68.060276	-0.000192	0.000192	0.000192	-0.000192	68.060276	0.154643	-1.500000	0.024046	69.560276	0.019000	0.024046	-3.803498	1.135166	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0.000000	0	0	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	7.474068	0.411074	0.000000
D:	193.27	-10.364068	68.060276	-0.000192	0.000192	0.000192	-0.000192	68.060276	0.154643	-1.500000	0.024046	69.560276	0.019000	0.024046	-3.803498	1.135166	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0.000000	0	0	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	7.474068	0.411074	0.000000
D:	201.87	-10.364068	68.060276	-0.000192	0.000192	0.000192	-0.000192	68.059799	-0.020964	-1.500000	0.147312	69.559799	0.019000	0.147312	-3.803464	1.353805	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0.000000	0	0	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	7.730176	0.425160	0.000000
D:	210.77	-10.620176	68.059799	-0.000192	0.000192	0.000192	-0.000192	68.059799	-0.020964	-1.500000	0.147312	69.559799	0.018000	0.147312	-3.803464	1.353805	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0.000000	0	0	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	7.730176	0.425160	0.000000
D:	219.44	-10.620176	68.059799	-0.000192	0.000192	0.000192	-0.000192	68.059799	-0.020964	-1.500000	0.147312	69.559799	0.018000	0.147312	-3.803464	1.353585	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0.000000	0	0	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	7.750319	0.426268	0.000000
D:	228.68	-10.640320	68.059876	-0.000192	0.000192	0.000192	-0.000192	68.059876	0.047472	-1.500000	-0.011518	69.559876	0.018000	-0.011518	-3.803197	1.353585	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0.000000	0	0	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	7.750319	0.426268	0.000000
D:	238.51	-10.640320	68.059876	-0.000192	0.000192	0.000192	-0.000192	68.059876	0.047472	-1.500000	-0.011518	69.559876	0.018000	-0.011518	-3.803197	1.353585	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0.000000	0	0	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	7.750319	0.426268	0.000000
D:	247.49	-10.563942	68.055966	-0.000192	0.000192	0.000192	-0.000192	68.055966	-0.022427	-1.500000	0.044650	69.555966	0.019000	0.044650	-3.802001	1.262326	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0.000000	0	0	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	7.673943	0.422067	0.000000
